ticket_id,text,category
35,"Hi support, I'm trying to place an order on your website. But the checkout page keeps showing an ERROR!!! I cannot complete the purchase at all.",Technical
36,"Hello, I cancelled my order within a few minutes of placing it. However the money was still deducted from my card. Can you please process the refund ASAP?",Refund
37,"Hi, I just checked my bank statement and something looks wrong. There is an additional charge from your store that I don't recognize. Please explain why this charge happened?? Please respond asap!!!",Billing
38,"HELLO team, I think there is an issue with my payment. I was charged twice for the SAME order!!! Can you please check and refund the extra amount? Thanks...",Billing
39,"Hi!!!, I just checked my bank statement and something looks wrong. There is an additional charge from your store that I don't recognize. Please explain why this charge happened?? Please respond asap!!!",Billing
40,I ordered a pair of shoes from your website. The app says delivered but I never received anything! Please help me figure out what happened. Please respond asap!!!,Delivery
41,"Hi, I tried to log into my retail account today. But the system says my password is incorrect even though I know it's right. Can you help me reset or recover the account? Thanks...",Account
42,Good evening support team. My credit card was billed but the order confirmation never arrived. Could you verify if the payment actually went through.,Billing
43,"Hi support, I'm trying to place an order on your website. But the checkout page keeps showing an ERROR!!! I cannot complete the purchase at all. Thanks...",Technical
44,I recently changed my email address. Now I cannot log into my shopping account anymore. What should I do to fix this issue?,Account
45,I ordered a pair of shoes from your website. The app says delivered but I never received anything! Please help me figure out what happened.,Delivery
46,"Hi there, I placed an order last week from your online shop. The tracking page still says 'in transit' and has not updated. Honestly this is getting frustrating, where is my package???",Delivery
47,Good evening support team. My credit card was billed but the order confirmation never arrived. Could you verify if the payment actually went through.,Billing
48,"Hi there, I placed an order last week from your online shop. The tracking page still says 'in transit' and has not updated. Honestly this is getting frustrating, where is my package???",Delivery
49,"HELLO team, I think there is an issue with my payment. I was charged twice for the SAME order!!! Can you please check and refund the extra amount?",Billing
50,HELLO support team. I think someone accessed my account without permission. Please check the login activity and secure the account.,Account
51,I bought a coffee maker from your website. The machine leaks water whenever I try to use it. Is there a replacement option available?,Product Issue
52,Good evening support team. My credit card was billed but the order confirmation never arrived. Could you verify if the payment actually went through.,Billing
53,Good evening support team. My credit card was billed but the order confirmation never arrived. Could you verify if the payment actually went through.,Billing
54,Good evening support team. My credit card was billed but the order confirmation never arrived. Could you verify if the payment actually went through. Please respond asap!!!,Billing
55,"Hi support, I'm trying to place an order on your website. But the checkout page keeps showing an ERROR!!! I cannot complete the purchase at all.",Technical
56,I bought a coffee maker from your website. The machine leaks water whenever I try to use it. Is there a replacement option available? Please respond asap!!!,Product Issue
57,I bought a coffee maker from your website. The machine leaks water whenever I try to use it. Is there a replacement option available?,Product Issue
58,"Hi!!! support team, I returned a jacket last week. According to the policy I should have received the refund already. But there is NOTHING in my bank account yet. Please respond asap!!!",Refund
59,HELLO support team. I think someone accessed my account without permission. Please check the login activity and secure the account. Thanks...,Account
60,I bought a coffee maker from your website. The machine leaks water whenever I try to use it. Is there a replacement option available?,Product Issue
61,"Hi support team, I returned a jacket last week. According to the policy I should have received the refund already. But there is NOTHING in my bank account yet.",Refund
62,"Hello, I cancelled my order within a few minutes of placing it. However the money was still deducted from my card. Can you please process the refund ASAP? Please respond asap!!!",Refund
63,I bought a coffee maker from your website. The machine leaks water whenever I try to use it. Is there a replacement option available?,Product Issue
64,"Hi!!! support, I'm trying to place an order on your website. But the checkout page keeps showing an ERROR!!! I cannot complete the purchase at all. Thanks...",Technical
65,Good evening support team. My credit card was billed but the order confirmation never arrived. Could you verify if the payment actually went through.,Billing
66,Hello team. The mobile app crashes every time I try to open the cart section. Please fix this bug soon. Please respond asap!!!,Technical
67,HELLO support team. I think someone accessed my account without permission. Please check the login activity and secure the account. Thanks...,Account
68,HELLO support team. I think someone accessed my account without permission. Please check the login activity and secure the account. Please respond asap!!! Thanks...,Account
69,"Hi support team, I returned a jacket last week. According to the policy I should have received the refund already. But there is NOTHING in my bank account yet.",Refund
70,"HELLO team, I think there is an issue with my payment. I was charged twice for the SAME order!!! Can you please check and refund the extra amount? Please respond asap!!!",Billing
71,"Hi there, I received my order today from your retail store. Unfortunately the product is damaged and has scratches on it. This is NOT what I expected, please advise. Thanks...",Product Issue
72,"Hi there, I placed an order last week from your online shop. The tracking page still says 'in transit' and has not updated. Honestly this is getting frustrating, where is my package???",Delivery
73,"Hi!!!, I just checked my bank statement and something looks wrong. There is an additional charge from your store that I don't recognize. Please explain why this charge happened?? Please respond asap!!! Thanks...",Billing
74,"Hello team, the headphones I purchased stopped working already. It's been only three days since delivery. Can you help with replacement or warranty?",Product Issue
75,"Hi there, I placed an order last week from your online shop. The tracking page still says 'in transit' and has not updated. Honestly this is getting frustrating, where is my package???",Delivery
76,"HELLO team, I think there is an issue with my payment. I was charged twice for the SAME order!!! Can you please check and refund the extra amount?",Billing
77,I attempted to apply a discount coupon. However the system keeps rejecting the code. Is there a problem with the website today?,Technical
78,"Hi, I just checked my bank statement and something looks wrong. There is an additional charge from your store that I don't recognize. Please explain why this charge happened??",Billing
79,HELLO support team. I think someone accessed my account without permission. Please check the login activity and secure the account.,Account
80,Good evening support team. My credit card was billed but the order confirmation never arrived. Could you verify if the payment actually went through. Please respond asap!!!,Billing
81,"Hello, I cancelled my order within a few minutes of placing it. However the money was still deducted from my card. Can you please process the refund ASAP?",Refund
82,"Hello team, the headphones I purchased stopped working already. It's been only three days since delivery. Can you help with replacement or warranty?",Product Issue
83,I ordered a pair of shoes from your website. The app says delivered but I never received anything! Please help me figure out what happened. Thanks...,Delivery
84,HELLO support team. I think someone accessed my account without permission. Please check the login activity and secure the account.,Account
85,"Hi there, I received my order today from your retail store. Unfortunately the product is damaged and has scratches on it. This is NOT what I expected, please advise.",Product Issue
86,Hello team. The mobile app crashes every time I try to open the cart section. Please fix this bug soon. Please respond asap!!!,Technical
87,I attempted to apply a discount coupon. However the system keeps rejecting the code. Is there a problem with the website today?,Technical
88,Hello team. The mobile app crashes every time I try to open the cart section. Please fix this bug soon. Thanks...,Technical
89,I received the product but it was completely different from what I ordered. This is honestly disappointing :( I would like to return it and get my refund.,Refund
90,I received the product but it was completely different from what I ordered. This is honestly disappointing :( I would like to return it and get my refund. Please respond asap!!!,Refund
91,I attempted to apply a discount coupon. However the system keeps rejecting the code. Is there a problem with the website today?,Technical
92,"Hi!!! there, I received my order today from your retail store. Unfortunately the product is damaged and has scratches on it. This is NOT what I expected, please advise.",Product Issue
93,I bought a coffee maker from your website. The machine leaks water whenever I try to use it. Is there a replacement option available?,Product Issue
94,"Hello team, the headphones I purchased stopped working already. It's been only three days since delivery. Can you help with replacement or warranty?",Product Issue
95,"Hi support, I'm trying to place an order on your website. But the checkout page keeps showing an ERROR!!! I cannot complete the purchase at all. Please respond asap!!!",Technical
96,"HELLO team, I think there is an issue with my payment. I was charged twice for the SAME order!!! Can you please check and refund the extra amount? Thanks...",Billing
97,"HELLO team, I think there is an issue with my payment. I was charged twice for the SAME order!!! Can you please check and refund the extra amount? Please respond asap!!!",Billing
98,"Hi, I just checked my bank statement and something looks wrong. There is an additional charge from your store that I don't recognize. Please explain why this charge happened?? Thanks...",Billing
99,Hello team. The mobile app crashes every time I try to open the cart section. Please fix this bug soon.,Technical
100,"HELLO team, I think there is an issue with my payment. I was charged twice for the SAME order!!! Can you please check and refund the extra amount?",Billing
101,I attempted to apply a discount coupon. However the system keeps rejecting the code. Is there a problem with the website today?,Technical
102,"Hi, I just checked my bank statement and something looks wrong. There is an additional charge from your store that I don't recognize. Please explain why this charge happened?? Please respond asap!!!",Billing
103,I bought a coffee maker from your website. The machine leaks water whenever I try to use it. Is there a replacement option available?,Product Issue
104,I attempted to apply a discount coupon. However the system keeps rejecting the code. Is there a problem with the website today?,Technical
105,I ordered a pair of shoes from your website. The app says delivered but I never received anything! Please help me figure out what happened.,Delivery
106,Hello team. The mobile app crashes every time I try to open the cart section. Please fix this bug soon.,Technical
107,"Hello, I cancelled my order within a few minutes of placing it. However the money was still deducted from my card. Can you please process the refund ASAP? Please respond asap!!!",Refund
108,I received the product but it was completely different from what I ordered. This is honestly disappointing :( I would like to return it and get my refund. Please respond asap!!!,Refund
109,I ordered a pair of shoes from your website. The app says delivered but I never received anything! Please help me figure out what happened. Please respond asap!!!,Delivery
110,HELLO support team. I think someone accessed my account without permission. Please check the login activity and secure the account. Please respond asap!!!,Account
111,I bought a coffee maker from your website. The machine leaks water whenever I try to use it. Is there a replacement option available? Please respond asap!!!,Product Issue
112,"Hi!!!, I tried to log into my retail account today. But the system says my password is incorrect even though I know it's right. Can you help me reset or recover the account?",Account
113,I recently changed my email address. Now I cannot log into my shopping account anymore. What should I do to fix this issue?,Account
114,"HELLO support, my delivery was supposed to arrive yesterday. But nothing showed up at my address yet. Could you check with the courier and update me please. Please respond asap!!! Thanks...",Delivery
115,I received the product but it was completely different from what I ordered. This is honestly disappointing :( I would like to return it and get my refund. Thanks...,Refund
116,"Hi, I tried to log into my retail account today. But the system says my password is incorrect even though I know it's right. Can you help me reset or recover the account?",Account
117,I bought a coffee maker from your website. The machine leaks water whenever I try to use it. Is there a replacement option available?,Product Issue
118,"Hi, I tried to log into my retail account today. But the system says my password is incorrect even though I know it's right. Can you help me reset or recover the account? Please respond asap!!!",Account
119,"Hello, I cancelled my order within a few minutes of placing it. However the money was still deducted from my card. Can you please process the refund ASAP?",Refund
120,HELLO support team. I think someone accessed my account without permission. Please check the login activity and secure the account.,Account
121,"Hi!!!, I just checked my bank statement and something looks wrong. There is an additional charge from your store that I don't recognize. Please explain why this charge happened?? Please respond asap!!!",Billing
122,"HELLO team, I think there is an issue with my payment. I was charged twice for the SAME order!!! Can you please check and refund the extra amount? Thanks...",Billing
123,"Hi there, I placed an order last week from your online shop. The tracking page still says 'in transit' and has not updated. Honestly this is getting frustrating, where is my package??? Please respond asap!!!",Delivery
124,"HELLO support, my delivery was supposed to arrive yesterday. But nothing showed up at my address yet. Could you check with the courier and update me please. Thanks...",Delivery
125,I bought a coffee maker from your website. The machine leaks water whenever I try to use it. Is there a replacement option available? Thanks...,Product Issue
126,"Hi support team, I returned a jacket last week. According to the policy I should have received the refund already. But there is NOTHING in my bank account yet.",Refund
127,HELLO support team. I think someone accessed my account without permission. Please check the login activity and secure the account.,Account
128,"Hi support, I'm trying to place an order on your website. But the checkout page keeps showing an ERROR!!! I cannot complete the purchase at all. Please respond asap!!!",Technical
129,"Hi there, I received my order today from your retail store. Unfortunately the product is damaged and has scratches on it. This is NOT what I expected, please advise. Thanks...",Product Issue
130,"Hello team, the headphones I purchased stopped working already. It's been only three days since delivery. Can you help with replacement or warranty?",Product Issue
131,"Hi!!!, I just checked my bank statement and something looks wrong. There is an additional charge from your store that I don't recognize. Please explain why this charge happened??",Billing
132,Hello team. The mobile app crashes every time I try to open the cart section. Please fix this bug soon.,Technical
133,Hello team. The mobile app crashes every time I try to open the cart section. Please fix this bug soon.,Technical
134,HELLO support team. I think someone accessed my account without permission. Please check the login activity and secure the account.,Account
135,"Hi there, I placed an order last week from your online shop. The tracking page still says 'in transit' and has not updated. Honestly this is getting frustrating, where is my package??? Please respond asap!!!",Delivery
136,I bought a coffee maker from your website. The machine leaks water whenever I try to use it. Is there a replacement option available?,Product Issue
137,"Hi support team, I returned a jacket last week. According to the policy I should have received the refund already. But there is NOTHING in my bank account yet.",Refund
138,I received the product but it was completely different from what I ordered. This is honestly disappointing :( I would like to return it and get my refund. Thanks...,Refund
139,"Hi there, I placed an order last week from your online shop. The tracking page still says 'in transit' and has not updated. Honestly this is getting frustrating, where is my package??? Please respond asap!!!",Delivery
140,I ordered a pair of shoes from your website. The app says delivered but I never received anything! Please help me figure out what happened.,Delivery
141,"HELLO team, I think there is an issue with my payment. I was charged twice for the SAME order!!! Can you please check and refund the extra amount? Please respond asap!!!",Billing
142,I attempted to apply a discount coupon. However the system keeps rejecting the code. Is there a problem with the website today?,Technical
143,I attempted to apply a discount coupon. However the system keeps rejecting the code. Is there a problem with the website today?,Technical
144,"Hi!!! support team, I returned a jacket last week. According to the policy I should have received the refund already. But there is NOTHING in my bank account yet. Please respond asap!!! Thanks...",Refund
145,I bought a coffee maker from your website. The machine leaks water whenever I try to use it. Is there a replacement option available? Please respond asap!!!,Product Issue
146,I attempted to apply a discount coupon. However the system keeps rejecting the code. Is there a problem with the website today?,Technical
147,"HELLO team, I think there is an issue with my payment. I was charged twice for the SAME order!!! Can you please check and refund the extra amount? Please respond asap!!!",Billing
148,I attempted to apply a discount coupon. However the system keeps rejecting the code. Is there a problem with the website today? Please respond asap!!! Thanks...,Technical
149,I received the product but it was completely different from what I ordered. This is honestly disappointing :( I would like to return it and get my refund.,Refund
150,"HELLO team, I think there is an issue with my payment. I was charged twice for the SAME order!!! Can you please check and refund the extra amount?",Billing
151,"Hi there, I placed an order last week from your online shop. The tracking page still says 'in transit' and has not updated. Honestly this is getting frustrating, where is my package??? Please respond asap!!! Thanks...",Delivery
152,"Hi, I just checked my bank statement and something looks wrong. There is an additional charge from your store that I don't recognize. Please explain why this charge happened??",Billing
153,"Hi there, I placed an order last week from your online shop. The tracking page still says 'in transit' and has not updated. Honestly this is getting frustrating, where is my package??? Thanks...",Delivery
154,"Hi there, I placed an order last week from your online shop. The tracking page still says 'in transit' and has not updated. Honestly this is getting frustrating, where is my package???",Delivery
155,"Hi there, I received my order today from your retail store. Unfortunately the product is damaged and has scratches on it. This is NOT what I expected, please advise.",Product Issue
156,I received the product but it was completely different from what I ordered. This is honestly disappointing :( I would like to return it and get my refund.,Refund
157,I bought a coffee maker from your website. The machine leaks water whenever I try to use it. Is there a replacement option available? Please respond asap!!!,Product Issue
158,I received the product but it was completely different from what I ordered. This is honestly disappointing :( I would like to return it and get my refund. Please respond asap!!!,Refund
159,"Hi there, I placed an order last week from your online shop. The tracking page still says 'in transit' and has not updated. Honestly this is getting frustrating, where is my package???",Delivery
160,"HELLO team, I think there is an issue with my payment. I was charged twice for the SAME order!!! Can you please check and refund the extra amount? Please respond asap!!!",Billing
161,Good evening support team. My credit card was billed but the order confirmation never arrived. Could you verify if the payment actually went through. Please respond asap!!!,Billing
162,I bought a coffee maker from your website. The machine leaks water whenever I try to use it. Is there a replacement option available? Thanks...,Product Issue
163,I ordered a pair of shoes from your website. The app says delivered but I never received anything! Please help me figure out what happened. Please respond asap!!! Thanks...,Delivery
164,"HELLO team, I think there is an issue with my payment. I was charged twice for the SAME order!!! Can you please check and refund the extra amount?",Billing
165,"Hello, I cancelled my order within a few minutes of placing it. However the money was still deducted from my card. Can you please process the refund ASAP? Please respond asap!!!",Refund
166,I received the product but it was completely different from what I ordered. This is honestly disappointing :( I would like to return it and get my refund.,Refund
167,I recently changed my email address. Now I cannot log into my shopping account anymore. What should I do to fix this issue? Thanks...,Account
168,I attempted to apply a discount coupon. However the system keeps rejecting the code. Is there a problem with the website today?,Technical
169,I received the product but it was completely different from what I ordered. This is honestly disappointing :( I would like to return it and get my refund. Please respond asap!!!,Refund
170,Hello team. The mobile app crashes every time I try to open the cart section. Please fix this bug soon.,Technical
171,Hello team. The mobile app crashes every time I try to open the cart section. Please fix this bug soon.,Technical
172,I received the product but it was completely different from what I ordered. This is honestly disappointing :( I would like to return it and get my refund. Please respond asap!!!,Refund
173,HELLO support team. I think someone accessed my account without permission. Please check the login activity and secure the account.,Account
174,"Hi!!!, I just checked my bank statement and something looks wrong. There is an additional charge from your store that I don't recognize. Please explain why this charge happened?? Please respond asap!!! Thanks...",Billing
175,I recently changed my email address. Now I cannot log into my shopping account anymore. What should I do to fix this issue?,Account
176,HELLO support team. I think someone accessed my account without permission. Please check the login activity and secure the account. Please respond asap!!!,Account
177,I recently changed my email address. Now I cannot log into my shopping account anymore. What should I do to fix this issue?,Account
178,"HELLO support, my delivery was supposed to arrive yesterday. But nothing showed up at my address yet. Could you check with the courier and update me please. Thanks...",Delivery
179,I attempted to apply a discount coupon. However the system keeps rejecting the code. Is there a problem with the website today?,Technical
180,Good evening support team. My credit card was billed but the order confirmation never arrived. Could you verify if the payment actually went through.,Billing
181,"Hi, I just checked my bank statement and something looks wrong. There is an additional charge from your store that I don't recognize. Please explain why this charge happened?? Thanks...",Billing
182,Hello team. The mobile app crashes every time I try to open the cart section. Please fix this bug soon.,Technical
183,"Hi!!!, I tried to log into my retail account today. But the system says my password is incorrect even though I know it's right. Can you help me reset or recover the account? Thanks...",Account
184,I bought a coffee maker from your website. The machine leaks water whenever I try to use it. Is there a replacement option available? Thanks...,Product Issue
185,HELLO support team. I think someone accessed my account without permission. Please check the login activity and secure the account.,Account
186,I received the product but it was completely different from what I ordered. This is honestly disappointing :( I would like to return it and get my refund. Please respond asap!!!,Refund
187,"Hi, I tried to log into my retail account today. But the system says my password is incorrect even though I know it's right. Can you help me reset or recover the account?",Account
188,"Hello team, the headphones I purchased stopped working already. It's been only three days since delivery. Can you help with replacement or warranty? Thanks...",Product Issue
189,"Hi!!! support, I'm trying to place an order on your website. But the checkout page keeps showing an ERROR!!! I cannot complete the purchase at all.",Technical
190,"Hi, I just checked my bank statement and something looks wrong. There is an additional charge from your store that I don't recognize. Please explain why this charge happened??",Billing
191,I recently changed my email address. Now I cannot log into my shopping account anymore. What should I do to fix this issue? Thanks...,Account
192,"HELLO team, I think there is an issue with my payment. I was charged twice for the SAME order!!! Can you please check and refund the extra amount?",Billing
193,"Hi, I tried to log into my retail account today. But the system says my password is incorrect even though I know it's right. Can you help me reset or recover the account?",Account
194,I recently changed my email address. Now I cannot log into my shopping account anymore. What should I do to fix this issue?,Account
195,"Hello, I cancelled my order within a few minutes of placing it. However the money was still deducted from my card. Can you please process the refund ASAP? Thanks...",Refund
196,I received the product but it was completely different from what I ordered. This is honestly disappointing :( I would like to return it and get my refund.,Refund
197,Hello team. The mobile app crashes every time I try to open the cart section. Please fix this bug soon. Thanks...,Technical
198,I attempted to apply a discount coupon. However the system keeps rejecting the code. Is there a problem with the website today?,Technical
199,"Hi, I tried to log into my retail account today. But the system says my password is incorrect even though I know it's right. Can you help me reset or recover the account? Thanks...",Account
200,I ordered a pair of shoes from your website. The app says delivered but I never received anything! Please help me figure out what happened. Please respond asap!!!,Delivery
201,"Hi, I just checked my bank statement and something looks wrong. There is an additional charge from your store that I don't recognize. Please explain why this charge happened??",Billing
202,I recently changed my email address. Now I cannot log into my shopping account anymore. What should I do to fix this issue? Thanks...,Account
203,"Hello team, the headphones I purchased stopped working already. It's been only three days since delivery. Can you help with replacement or warranty?",Product Issue
204,"Hi!!! there, I placed an order last week from your online shop. The tracking page still says 'in transit' and has not updated. Honestly this is getting frustrating, where is my package???",Delivery
205,"Hi, I just checked my bank statement and something looks wrong. There is an additional charge from your store that I don't recognize. Please explain why this charge happened?? Thanks...",Billing
206,HELLO support team. I think someone accessed my account without permission. Please check the login activity and secure the account.,Account
207,Hello team. The mobile app crashes every time I try to open the cart section. Please fix this bug soon.,Technical
208,"Hi, I tried to log into my retail account today. But the system says my password is incorrect even though I know it's right. Can you help me reset or recover the account? Please respond asap!!!",Account
209,Hello team. The mobile app crashes every time I try to open the cart section. Please fix this bug soon. Please respond asap!!!,Technical
210,Good evening support team. My credit card was billed but the order confirmation never arrived. Could you verify if the payment actually went through.,Billing
211,I bought a coffee maker from your website. The machine leaks water whenever I try to use it. Is there a replacement option available?,Product Issue
212,I ordered a pair of shoes from your website. The app says delivered but I never received anything! Please help me figure out what happened. Thanks...,Delivery
213,I received the product but it was completely different from what I ordered. This is honestly disappointing :( I would like to return it and get my refund.,Refund
214,I ordered a pair of shoes from your website. The app says delivered but I never received anything! Please help me figure out what happened. Please respond asap!!! Thanks...,Delivery
215,"Hi, I tried to log into my retail account today. But the system says my password is incorrect even though I know it's right. Can you help me reset or recover the account? Thanks...",Account
216,"Hello, I cancelled my order within a few minutes of placing it. However the money was still deducted from my card. Can you please process the refund ASAP? Thanks...",Refund
217,"Hello team, the headphones I purchased stopped working already. It's been only three days since delivery. Can you help with replacement or warranty?",Product Issue
218,"Hello, I cancelled my order within a few minutes of placing it. However the money was still deducted from my card. Can you please process the refund ASAP?",Refund
219,"Hi!!!, I just checked my bank statement and something looks wrong. There is an additional charge from your store that I don't recognize. Please explain why this charge happened??",Billing
220,I attempted to apply a discount coupon. However the system keeps rejecting the code. Is there a problem with the website today?,Technical
221,"Hello team, the headphones I purchased stopped working already. It's been only three days since delivery. Can you help with replacement or warranty? Please respond asap!!!",Product Issue
222,"Hi, I just checked my bank statement and something looks wrong. There is an additional charge from your store that I don't recognize. Please explain why this charge happened??",Billing
223,I recently changed my email address. Now I cannot log into my shopping account anymore. What should I do to fix this issue?,Account
224,Good evening support team. My credit card was billed but the order confirmation never arrived. Could you verify if the payment actually went through.,Billing
225,I ordered a pair of shoes from your website. The app says delivered but I never received anything! Please help me figure out what happened. Please respond asap!!!,Delivery
226,I received the product but it was completely different from what I ordered. This is honestly disappointing :( I would like to return it and get my refund.,Refund
227,"Hello, I cancelled my order within a few minutes of placing it. However the money was still deducted from my card. Can you please process the refund ASAP? Please respond asap!!!",Refund
228,HELLO support team. I think someone accessed my account without permission. Please check the login activity and secure the account.,Account
229,"Hello team, the headphones I purchased stopped working already. It's been only three days since delivery. Can you help with replacement or warranty?",Product Issue
230,"Hi support, I'm trying to place an order on your website. But the checkout page keeps showing an ERROR!!! I cannot complete the purchase at all.",Technical
231,"Hi!!! support team, I returned a jacket last week. According to the policy I should have received the refund already. But there is NOTHING in my bank account yet.",Refund
232,"HELLO support, my delivery was supposed to arrive yesterday. But nothing showed up at my address yet. Could you check with the courier and update me please. Please respond asap!!!",Delivery
233,Hello team. The mobile app crashes every time I try to open the cart section. Please fix this bug soon. Please respond asap!!!,Technical
234,"Hi, I tried to log into my retail account today. But the system says my password is incorrect even though I know it's right. Can you help me reset or recover the account?",Account
235,"HELLO team, I think there is an issue with my payment. I was charged twice for the SAME order!!! Can you please check and refund the extra amount? Thanks...",Billing
236,"Hi there, I received my order today from your retail store. Unfortunately the product is damaged and has scratches on it. This is NOT what I expected, please advise. Please respond asap!!!",Product Issue
237,"Hi!!! there, I placed an order last week from your online shop. The tracking page still says 'in transit' and has not updated. Honestly this is getting frustrating, where is my package???",Delivery
238,"Hi!!!, I just checked my bank statement and something looks wrong. There is an additional charge from your store that I don't recognize. Please explain why this charge happened?? Thanks...",Billing
239,"Hi support team, I returned a jacket last week. According to the policy I should have received the refund already. But there is NOTHING in my bank account yet. Please respond asap!!! Thanks...",Refund
240,"Hi!!! support team, I returned a jacket last week. According to the policy I should have received the refund already. But there is NOTHING in my bank account yet.",Refund
241,I ordered a pair of shoes from your website. The app says delivered but I never received anything! Please help me figure out what happened. Thanks...,Delivery
242,HELLO support team. I think someone accessed my account without permission. Please check the login activity and secure the account.,Account
243,"Hi there, I received my order today from your retail store. Unfortunately the product is damaged and has scratches on it. This is NOT what I expected, please advise.",Product Issue
244,"Hello, I cancelled my order within a few minutes of placing it. However the money was still deducted from my card. Can you please process the refund ASAP?",Refund
245,HELLO support team. I think someone accessed my account without permission. Please check the login activity and secure the account.,Account
246,"HELLO team, I think there is an issue with my payment. I was charged twice for the SAME order!!! Can you please check and refund the extra amount? Thanks...",Billing
247,I bought a coffee maker from your website. The machine leaks water whenever I try to use it. Is there a replacement option available?,Product Issue
248,I bought a coffee maker from your website. The machine leaks water whenever I try to use it. Is there a replacement option available? Please respond asap!!!,Product Issue
249,"Hi support, I'm trying to place an order on your website. But the checkout page keeps showing an ERROR!!! I cannot complete the purchase at all.",Technical
250,"Hi support, I'm trying to place an order on your website. But the checkout page keeps showing an ERROR!!! I cannot complete the purchase at all.",Technical
251,HELLO support team. I think someone accessed my account without permission. Please check the login activity and secure the account.,Account
252,Hello team. The mobile app crashes every time I try to open the cart section. Please fix this bug soon.,Technical
253,"HELLO team, I think there is an issue with my payment. I was charged twice for the SAME order!!! Can you please check and refund the extra amount? Thanks...",Billing
254,Hello team. The mobile app crashes every time I try to open the cart section. Please fix this bug soon.,Technical
255,I bought a coffee maker from your website. The machine leaks water whenever I try to use it. Is there a replacement option available?,Product Issue
256,Hello team. The mobile app crashes every time I try to open the cart section. Please fix this bug soon.,Technical
257,"Hello team, the headphones I purchased stopped working already. It's been only three days since delivery. Can you help with replacement or warranty?",Product Issue
